Computer Name,Serial Number,Compliance - mSCP Version,Compliance - Failed mSCP Results Count,Full Name,Last Inventory Update,Operating System,Compliance - Failed mSCP Result List,Asset Tag
MacMini-Southeast-001,0OVRNXGIOV2X,org.disa_stig.audit.plist,0,Emily Wilson,2025-02-24 13:04:02,macOS 15.3.1,,39373746
iMac-Southwest-002,XQYH8Z9VELE3,org.disa_stig.audit.plist,30,Olivia Harris,2025-02-24 17:40:11,macOS 15.3.1,"audit_flags_logins
audit_configure_capacity_notify
audit_flags_successful_auths
audit_files_group_configure
audit_set_macOS_security_policy
audit_flags_authentication",00632476
MacMini-NorthCentral-003,O1EDBA2GLS7X,org.disa_stig.audit.plist,16,Sophia Lewis,2025-02-24 17:39:16,macOS 14.5.0,"audit_configure_capacity_notify
audit_files_owner_configure
audit_files_group_configure
audit_flags_successful_auths
audit_flags_administrator_actions
audit_set_macOS_security_policy
audit_flags_authentication
audit_flags_unsuccessful_auths",20165958
MacStudio-Midwest-004,3T5AS9DA1IDR,org.disa_stig.audit.plist,61,Michael Scott,2025-02-24 06:23:38,macOS 14.2.1,"audit_configure_capacity_notify
audit_files_owner_configure
audit_flags_logins",22478264
MacBookAir-MountainWest-005,G6BG0H8LLRCB,org.disa_stig.audit.plist,64,Jane Smith,2025-02-24 08:08:49,macOS 14.7.4,audit_set_macOS_security_policy,57094274
MacMini-Midwest-006,NC93KTQ3HLER,org.disa_stig.audit.plist,37,Benjamin Young,2025-02-24 16:34:42,macOS 15.3.1,"audit_set_macOS_security_policy
audit_files_owner_configure
audit_configure_capacity_notify
audit_flags_logins
audit_files_group_configure
audit_flags_successful_auths
audit_flags_administrator_actions",27399253
iMac-Alaska-007,Y0WQEBP1SM8E,org.disa_stig.audit.plist,52,John Doe,2025-02-24 00:29:43,macOS 14.2.1,"audit_files_group_configure
audit_flags_logins
audit_files_owner_configure
audit_flags_unsuccessful_auths",17617747
MacMini-MountainWest-008,DXGC14YW5ZCA,org.disa_stig.audit.plist,22,Bob Brown,2025-02-24 12:02:35,macOS 14.2.1,"audit_configure_capacity_notify
audit_files_group_configure
audit_flags_authentication
audit_flags_administrator_actions",02768934
MacBookPro-Mid-Atlantic-009,9T4EVHDYKMAZ,org.disa_stig.audit.plist,38,Harper Adams,2025-02-24 16:27:52,macOS 14.5.0,"audit_files_owner_configure
audit_flags_unsuccessful_auths
audit_flags_successful_auths
audit_flags_administrator_actions
audit_files_group_configure",37440383
MacMini-NorthCentral-010,VN4GSTHOSG36,org.disa_stig.audit.plist,0,Charlotte King,2025-02-24 20:34:46,macOS 14.2.1,,49309237
MacStudio-Mid-Atlantic-011,ON98BVYB3P1B,org.disa_stig.audit.plist,18,Jane Smith,2025-02-24 09:42:09,macOS 14.7.4,audit_files_owner_configure,58966753
MacBookAir-MountainWest-012,KD32YGX92G3E,org.disa_stig.audit.plist,0,Frank Thomas,2025-02-24 12:02:22,macOS 14.7.4,,92017979
MacBookPro-NorthCentral-013,E4FCYFHHGFM4,org.disa_stig.audit.plist,0,Charlie Davis,2025-02-24 07:57:52,macOS 14.7.4,,87779401
MacBookAir-PacificNorthWest-014,LMC0904QV1UT,org.disa_stig.audit.plist,0,David Clark,2025-02-24 18:15:04,macOS 15.3.1,,41387521
MacBookPro-Southeast-015,9U7TOW7WR1Z1,org.disa_stig.audit.plist,41,Liam Roberts,2025-02-24 12:51:20,macOS 14.7.4,"audit_files_owner_configure
audit_flags_unsuccessful_auths
audit_files_group_configure
audit_set_macOS_security_policy
audit_flags_administrator_actions
audit_flags_logins",70803169
