Computer Name,Serial Number,Compliance - mSCP Version,Compliance - Failed mSCP Results Count,Full Name,Last Inventory Update,Operating System,Compliance - Failed mSCP Result List,Asset Tag
MacMini-Southeast-001,0OVRNXGIOV2X,org.disa_stig.audit.plist,0,Emily Wilson,2025-03-17 09:12:52,macOS 15.3.1,,39373746
iMac-Southwest-002,XQYH8Z9VELE3,org.disa_stig.audit.plist,10,Olivia Harris,2025-03-17 22:50:01,macOS 15.3.1,"audit_configure_capacity_notify
audit_files_group_configure
audit_flags_administrator_actions
audit_flags_unsuccessful_auths
audit_flags_logins
audit_set_macOS_security_policy
audit_files_owner_configure
audit_flags_authentication",00632476
MacMini-NorthCentral-003,O1EDBA2GLS7X,org.disa_stig.audit.plist,52,Sophia Lewis,2025-03-17 23:10:25,macOS 14.5.0,"audit_set_macOS_security_policy
audit_files_group_configure
audit_flags_logins
audit_flags_unsuccessful_auths
audit_flags_administrator_actions
audit_flags_successful_auths
audit_configure_capacity_notify
audit_files_owner_configure
audit_flags_authentication",20165958
MacStudio-Midwest-004,3T5AS9DA1IDR,org.disa_stig.audit.plist,64,Michael Scott,2025-03-17 08:52:27,macOS 14.2.1,"audit_flags_successful_auths
audit_configure_capacity_notify",22478264
MacBookAir-MountainWest-005,G6BG0H8LLRCB,org.disa_stig.audit.plist,5,Jane Smith,2025-03-17 13:51:16,macOS 14.7.4,"audit_files_owner_configure
audit_set_macOS_security_policy
audit_flags_administrator_actions
audit_flags_authentication
audit_files_group_configure
audit_flags_unsuccessful_auths
audit_configure_capacity_notify
audit_flags_logins",57094274
MacMini-Midwest-006,NC93KTQ3HLER,org.disa_stig.audit.plist,52,Benjamin Young,2025-03-17 18:00:13,macOS 15.3.1,"audit_configure_capacity_notify
audit_files_group_configure
audit_flags_successful_auths",27399253
iMac-Alaska-007,Y0WQEBP1SM8E,org.disa_stig.audit.plist,13,John Doe,2025-03-17 03:04:48,macOS 14.2.1,"audit_flags_successful_auths
audit_flags_unsuccessful_auths
audit_flags_administrator_actions
audit_set_macOS_security_policy",17617747
MacMini-MountainWest-008,DXGC14YW5ZCA,org.disa_stig.audit.plist,8,Bob Brown,2025-03-17 14:24:09,macOS 14.2.1,"audit_flags_authentication
audit_flags_unsuccessful_auths",02768934
MacBookPro-Mid-Atlantic-009,9T4EVHDYKMAZ,org.disa_stig.audit.plist,36,Harper Adams,2025-03-17 21:04:47,macOS 14.5.0,"audit_flags_logins
audit_flags_administrator_actions
audit_flags_successful_auths
audit_flags_unsuccessful_auths
audit_set_macOS_security_policy
audit_files_group_configure
audit_files_owner_configure
audit_flags_authentication
audit_configure_capacity_notify",37440383
MacMini-NorthCentral-010,VN4GSTHOSG36,org.disa_stig.audit.plist,0,Charlotte King,2025-03-17 01:23:58,macOS 14.2.1,,49309237
