Computer Name,Serial Number,Compliance - mSCP Version,Compliance - Failed mSCP Results Count,Full Name,Last Inventory Update,Operating System,Compliance - Failed mSCP Result List,Asset Tag
MacMini-Southeast-001,0OVRNXGIOV2X,org.disa_stig.audit.plist,0,Emily Wilson,2025-03-03 06:00:43,macOS 15.3.1,,39373746
iMac-Southwest-002,XQYH8Z9VELE3,org.disa_stig.audit.plist,51,Olivia Harris,2025-03-03 07:28:50,macOS 15.3.1,"audit_flags_unsuccessful_auths
audit_set_macOS_security_policy
audit_flags_administrator_actions
audit_configure_capacity_notify
audit_flags_successful_auths
audit_files_group_configure",00632476
MacMini-NorthCentral-003,O1EDBA2GLS7X,org.disa_stig.audit.plist,14,Sophia Lewis,2025-03-03 04:19:10,macOS 14.5.0,"audit_flags_administrator_actions
audit_flags_successful_auths
audit_files_owner_configure
audit_set_macOS_security_policy
audit_flags_authentication
audit_flags_unsuccessful_auths
audit_flags_logins
audit_configure_capacity_notify
audit_files_group_configure",20165958
MacStudio-Midwest-004,3T5AS9DA1IDR,org.disa_stig.audit.plist,23,Michael Scott,2025-03-03 02:51:02,macOS 14.2.1,"audit_files_owner_configure
audit_flags_administrator_actions
audit_flags_unsuccessful_auths
audit_files_group_configure
audit_set_macOS_security_policy
audit_configure_capacity_notify",22478264
MacBookAir-MountainWest-005,G6BG0H8LLRCB,org.disa_stig.audit.plist,46,Jane Smith,2025-03-03 20:07:32,macOS 14.7.4,"audit_flags_logins
audit_files_owner_configure
audit_configure_capacity_notify
audit_flags_unsuccessful_auths
audit_set_macOS_security_policy
audit_files_group_configure",57094274
MacMini-Midwest-006,NC93KTQ3HLER,org.disa_stig.audit.plist,20,Benjamin Young,2025-03-03 10:05:06,macOS 15.3.1,"audit_set_macOS_security_policy
audit_flags_successful_auths
audit_files_group_configure
audit_flags_administrator_actions
audit_files_owner_configure",27399253
iMac-Alaska-007,Y0WQEBP1SM8E,org.disa_stig.audit.plist,37,John Doe,2025-03-03 06:08:15,macOS 14.2.1,"audit_configure_capacity_notify
audit_files_owner_configure
audit_flags_administrator_actions
audit_flags_successful_auths
audit_flags_authentication
audit_flags_logins
audit_files_group_configure",17617747
MacMini-MountainWest-008,DXGC14YW5ZCA,org.disa_stig.audit.plist,21,Bob Brown,2025-03-03 04:07:08,macOS 14.2.1,"audit_flags_administrator_actions
audit_flags_authentication
audit_files_owner_configure
audit_flags_successful_auths
audit_flags_unsuccessful_auths
audit_configure_capacity_notify
audit_files_group_configure
audit_set_macOS_security_policy
audit_flags_logins",02768934
MacBookPro-Mid-Atlantic-009,9T4EVHDYKMAZ,org.disa_stig.audit.plist,54,Harper Adams,2025-03-03 04:52:41,macOS 14.5.0,"audit_flags_successful_auths
audit_flags_unsuccessful_auths
audit_flags_authentication
audit_set_macOS_security_policy",37440383
MacMini-NorthCentral-010,VN4GSTHOSG36,org.disa_stig.audit.plist,0,Charlotte King,2025-03-03 12:09:32,macOS 14.2.1,,49309237
